1.71,[O][C][C][C][C][N][Branch1][Branch2][C][=C][N][=C][S][Ring1][Branch1][C][C][Ring1][O][C][=C][Branch1][Ring1][C][#N][C][=C][C][=C][C][Branch1][Ring2][C][=N][O][=C][Ring1][=Branch2]
1.71,[C][C][=Branch1][C][=O][C][NH1][C][=C][N][=C][C][=C][Ring1][=Branch1][C][=Ring1][=Branch2][N][C][=C][C][C][N][Branch1][=Branch2][N][C][=Branch1][C][=O][N][C][C][C][C][Ring1][N]
1.66,[N][C][C][C][N][Branch1][N][C][=Branch1][C][=O][C][C][=N][NH1][C][=Ring1][Branch1][C][Ring1][N][C][#C][C][C][=C][C][=C][Branch1][Ring1][O][C][C][Branch1][C][O][=C][Ring1][=Branch2][Cl]
1.7,[C][=N][N][C][=Branch1][C][=O][C][C][C][O][C][C][N][C][C][C][C][=C][C][=C][C][=N][N][Branch1][C][O][C][Branch1][C][N][=C][Ring1][O][Ring1][#Branch1]
1.8,[C][C][C][Branch1][Ring1][C][C][C][C][C][C][C][=N][N][C][C][C][=C][C][N][C][=C][Branch1][C][N][C][Branch1][C][C][=N][N][Ring1][#Branch1][C][C][C][C][N][N][C][Branch1][C][C][=C][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1]
1.64,[C][N][C][C][N][N][=N][C][=C][Ring1][Branch1][C][=Branch1][C][=O][O][C][C][N][Branch1][O][C][C][S][=Branch1][C][=O][=Branch1][C][=O][O][C][=Branch1][C][=O][N][C][C][Ring1][Ring1]
1.6,[C][C][=Branch1][C][=O][C][=C][Branch1][C][O][C][=N][C][Branch1][Ring1][C][O][=C][Ring1][=Branch2][N][C][C][C][=C][C][Branch1][#Branch1][O][C][C][C][Ring1][Ring1][=C][Branch1][C][C][N][Ring1][#Branch2][N]
1.71,[C][C][C][Branch1][C][C][Branch1][C][C][O][C][=C][N][=C][N][=C][Ring1][=Branch1][C][C][=C][C][C][C][=C][N][Branch1][=Branch1][C][Branch1][C][C][C][C][=N][Ring1][Branch2]
1.68,[C][C][=C][C][=C][Branch1][=Branch1][N][Branch1][C][C][C][C][=C][C][=N][N][Ring1][N][Ring1][Branch1][N][N][C][=C][C][=C][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Ring1][#Branch2]
1.71,[C][=C][Branch1][#Branch2][C][C][=Branch1][C][=O][O][C][C][N][O][C][Branch1][C][C][=O][C][C][O][C][=Branch1][C][=O][N][C][C][C][Ring1][Ring2][C][C][C][#N]
1.7,[C][=C][C][=C][C][C][=C][C][Branch1][C][Cl][=C][C][=Branch1][C][=N][C][=Ring1][=Branch2][C][C][C][=Branch1][C][=O][C][=Branch1][Ring2][=C][C][#N][C][N][C][C][C][Ring1][Ring2]
1.67,[C][C][O][C][=C][Branch1][Ring1][C][C][C][=C][C][=Branch1][C][=O][N][Ring1][=Branch2][C][C][=C][O][C][=C][C][Branch1][Ring2][O][C][C][=C][C][=C][Ring1][=Branch2][Cl][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][C][O][C][Ring1][Ring2]
1.63,[C][C][C][C][Branch1][C][C][Branch1][C][C][C][=Branch1][C][=O][O][C][C][C][O][C][C][C][#C][C][C][C][C][=Branch1][C][=O][N][Branch1][C][C][C][C]
